model,seed,type_x_len_samples,test_type,ft_type,model_type,dataset,accuracy,type_1_len_0,type_1_len_1,type_1_len_2,type_1_len_3,type_1_len_4,type_2_len_1,type_2_len_2,type_2_len_3,type_2_len_4,type_2_len_5,type_3_len_0,type_3_len_1,type_3_len_2,type_3_len_3,type_3_len_4,type_4_len_1,type_4_len_2,type_4_len_3,type_4_len_4,type_4_len_5,type_5_len_7,type_5_len_8,type_5_len_9,type_5_len_10,type_5_len_11,type_6_len_0,type_6_len_1,type_6_len_2,type_6_len_3,type_6_len_4,type_7_len_0,type_7_len_1,type_7_len_2,type_7_len_3,type_7_len_4
qwen-7b,1048,1000,normal,lora,meta,meta,75.29,0.0,11.0,44.0,59.0,67.0,64.0,94.0,98.0,99.0,96.0,1.0,100.0,100.0,97.0,96.0,50.0,81.0,92.0,90.0,92.0,71.0,80.0,83.0,98.0,97.0,0.0,97.0,98.0,99.0,100.0,0.0,86.0,97.0,99.0,99.0
qwen-7b,1048,1000,normal,lora,base,base,72.23,0.0,0.0,27.0,58.0,77.0,65.0,93.0,98.0,100.0,97.0,48.0,90.0,95.0,96.0,97.0,59.0,69.0,82.0,88.0,90.0,95.0,94.0,92.0,96.0,95.0,48.0,100.0,99.0,100.0,98.0,0.0,0.0,39.0,59.0,84.0
qwen-3b,1048,1000,normal,lora,meta,meta,77.37,5.0,26.0,39.0,51.0,56.0,59.0,87.0,98.0,98.0,97.0,39.0,99.0,97.0,97.0,96.0,47.0,70.0,83.0,88.0,88.0,71.0,81.0,84.0,100.0,97.0,71.0,99.0,99.0,100.0,100.0,2.0,89.0,97.0,99.0,99.0
qwen-3b,1048,1000,normal,lora,base,base,70.91,0.0,24.0,65.0,68.0,73.0,64.0,94.0,99.0,98.0,95.0,0.0,87.0,91.0,88.0,90.0,52.0,70.0,78.0,88.0,91.0,76.0,85.0,80.0,84.0,87.0,0.0,94.0,100.0,100.0,98.0,0.0,29.0,66.0,80.0,88.0
qwen-3b,1048,100,normal,lora,meta,meta,64.14,4.0,29.0,37.0,46.0,46.0,38.0,74.0,79.0,81.0,85.0,7.0,86.0,85.0,89.0,87.0,21.0,47.0,64.0,65.0,66.0,60.0,68.0,77.0,86.0,89.0,52.0,98.0,99.0,100.0,100.0,2.0,54.0,66.0,74.0,84.0
qwen-3b,1048,100,normal,lora,base,base,45.8,0.0,0.0,8.0,10.0,15.0,63.0,84.0,87.0,85.0,81.0,0.0,60.0,80.0,68.0,63.0,21.0,28.0,33.0,27.0,32.0,29.0,33.0,36.0,56.0,41.0,4.0,88.0,92.0,91.0,87.0,0.0,24.0,48.0,60.0,69.0
qwen-7b,1048,100,normal,lora,meta,meta,57.97,1.0,22.0,30.0,39.0,44.0,60.0,83.0,84.0,81.0,87.0,8.0,62.0,63.0,72.0,73.0,26.0,62.0,52.0,51.0,56.0,58.0,65.0,69.0,80.0,85.0,13.0,90.0,97.0,98.0,100.0,3.0,33.0,49.0,63.0,70.0
qwen-7b,1048,100,normal,lora,base,base,44.2,0.0,2.0,18.0,23.0,24.0,54.0,80.0,92.0,88.0,86.0,0.0,41.0,53.0,62.0,50.0,15.0,19.0,25.0,17.0,33.0,34.0,27.0,39.0,50.0,48.0,0.0,89.0,94.0,93.0,95.0,0.0,17.0,48.0,58.0,73.0
qwen-1.5b,1048,1000,normal,lora,meta,meta,68.34,4.0,23.0,40.0,52.0,57.0,68.0,84.0,94.0,90.0,93.0,1.0,66.0,78.0,79.0,90.0,28.0,56.0,76.0,76.0,73.0,67.0,76.0,80.0,93.0,92.0,5.0,93.0,95.0,99.0,99.0,0.0,85.0,90.0,93.0,97.0
qwen-1.5b,1048,1000,normal,lora,base,base,57.34,0.0,0.0,13.0,28.0,45.0,70.0,88.0,96.0,89.0,85.0,0.0,66.0,73.0,73.0,67.0,42.0,55.0,61.0,56.0,61.0,59.0,62.0,63.0,66.0,69.0,0.0,99.0,98.0,97.0,97.0,0.0,15.0,53.0,77.0,84.0
qwen-1.5b,1048,100,normal,lora,meta,meta,46.94,0.0,15.0,23.0,34.0,42.0,24.0,73.0,75.0,73.0,75.0,0.0,19.0,47.0,60.0,63.0,11.0,51.0,52.0,42.0,51.0,44.0,60.0,69.0,81.0,81.0,3.0,35.0,84.0,94.0,96.0,0.0,9.0,39.0,53.0,65.0
qwen-1.5b,1048,100,normal,lora,base,base,28.26,0.0,0.0,0.0,3.0,3.0,65.0,82.0,82.0,67.0,62.0,0.0,12.0,47.0,41.0,40.0,12.0,13.0,11.0,8.0,17.0,8.0,10.0,14.0,27.0,20.0,0.0,18.0,83.0,82.0,67.0,0.0,0.0,20.0,34.0,41.0
qwen-7b,512,1000,normal,lora,meta,meta,79.49,5.0,31.0,51.0,63.0,67.0,64.0,97.0,100.0,99.0,97.0,84.0,98.0,98.0,100.0,98.0,33.0,70.0,85.0,89.0,88.0,72.0,81.0,85.0,100.0,97.0,42.0,99.0,98.0,100.0,100.0,3.0,89.0,100.0,99.0,100.0
qwen-7b,512,1000,normal,lora,base,base,71.69,0.0,0.0,24.0,47.0,82.0,79.0,97.0,99.0,97.0,98.0,2.0,94.0,98.0,92.0,93.0,61.0,70.0,83.0,89.0,89.0,82.0,89.0,84.0,90.0,97.0,1.0,100.0,99.0,100.0,99.0,0.0,30.0,69.0,81.0,94.0
qwen-7b,1596,1000,normal,lora,meta,meta,73.91,1.0,39.0,50.0,67.0,71.0,40.0,86.0,98.0,99.0,100.0,0.0,99.0,98.0,100.0,97.0,22.0,59.0,83.0,93.0,87.0,71.0,76.0,84.0,100.0,98.0,0.0,99.0,99.0,100.0,99.0,0.0,79.0,97.0,99.0,97.0
qwen-7b,1596,1000,normal,lora,base,base,69.31,0.0,5.0,26.0,50.0,61.0,69.0,93.0,99.0,99.0,96.0,0.0,82.0,91.0,96.0,93.0,52.0,77.0,80.0,88.0,88.0,75.0,84.0,81.0,90.0,89.0,0.0,95.0,100.0,99.0,100.0,0.0,42.0,60.0,76.0,90.0
qwen-3b,512,1000,normal,lora,meta,meta,73.57,0.0,19.0,47.0,55.0,60.0,55.0,86.0,99.0,95.0,96.0,0.0,99.0,98.0,97.0,97.0,34.0,63.0,80.0,88.0,85.0,73.0,81.0,85.0,99.0,96.0,0.0,99.0,98.0,100.0,99.0,0.0,94.0,99.0,99.0,100.0
qwen-3b,512,1000,normal,lora,base,base,71.14,0.0,10.0,52.0,65.0,78.0,63.0,92.0,96.0,94.0,88.0,6.0,83.0,84.0,93.0,89.0,47.0,66.0,79.0,85.0,86.0,79.0,80.0,76.0,89.0,87.0,57.0,95.0,100.0,100.0,99.0,0.0,33.0,69.0,78.0,92.0
qwen-1.5b,512,1000,normal,lora,meta,meta,72.49,3.0,30.0,41.0,49.0,53.0,64.0,85.0,89.0,87.0,92.0,47.0,99.0,96.0,96.0,90.0,22.0,51.0,79.0,73.0,76.0,68.0,79.0,84.0,94.0,91.0,69.0,97.0,98.0,99.0,95.0,1.0,66.0,86.0,92.0,96.0
qwen-1.5b,512,1000,normal,lora,base,base,55.26,0.0,0.0,27.0,33.0,52.0,72.0,92.0,96.0,93.0,88.0,0.0,22.0,75.0,83.0,80.0,54.0,67.0,73.0,73.0,69.0,36.0,41.0,48.0,55.0,52.0,0.0,44.0,96.0,96.0,97.0,0.0,25.0,50.0,70.0,75.0
qwen-3b,1596,1000,normal,lora,meta,meta,80.63,13.0,24.0,42.0,55.0,55.0,77.0,89.0,97.0,95.0,99.0,53.0,94.0,98.0,96.0,97.0,42.0,78.0,85.0,88.0,88.0,72.0,77.0,82.0,97.0,97.0,73.0,99.0,96.0,100.0,100.0,77.0,89.0,98.0,100.0,100.0
qwen-1.5b,1596,1000,normal,lora,meta,meta,72.0,1.0,29.0,43.0,47.0,61.0,72.0,89.0,95.0,93.0,95.0,0.0,99.0,95.0,92.0,88.0,34.0,62.0,83.0,84.0,77.0,65.0,77.0,80.0,98.0,94.0,0.0,98.0,95.0,100.0,98.0,0.0,85.0,95.0,97.0,99.0
qwen-3b,1596,1000,normal,lora,base,base,73.6,0.0,20.0,59.0,76.0,77.0,62.0,92.0,96.0,96.0,92.0,0.0,97.0,95.0,92.0,90.0,52.0,73.0,77.0,83.0,89.0,82.0,77.0,79.0,86.0,84.0,59.0,99.0,99.0,99.0,98.0,0.0,45.0,70.0,89.0,92.0
qwen-1.5b,1596,1000,normal,lora,base,base,57.4,0.0,0.0,16.0,24.0,37.0,65.0,86.0,95.0,89.0,85.0,0.0,73.0,77.0,89.0,74.0,47.0,57.0,72.0,74.0,67.0,43.0,49.0,55.0,68.0,61.0,1.0,93.0,97.0,96.0,95.0,0.0,16.0,58.0,73.0,77.0
qwen-7b,512,100,normal,lora,meta,meta,74.11,27.0,29.0,35.0,45.0,49.0,45.0,80.0,90.0,87.0,94.0,79.0,87.0,92.0,91.0,90.0,31.0,65.0,78.0,70.0,70.0,68.0,76.0,78.0,90.0,90.0,82.0,94.0,94.0,98.0,99.0,58.0,72.0,85.0,90.0,86.0
qwen-7b,512,100,normal,lora,base,base,45.57,0.0,0.0,14.0,12.0,18.0,64.0,92.0,92.0,87.0,79.0,2.0,45.0,67.0,71.0,72.0,26.0,38.0,36.0,45.0,51.0,23.0,25.0,24.0,43.0,38.0,10.0,85.0,92.0,94.0,91.0,0.0,3.0,43.0,57.0,56.0
qwen-1.5b,512,100,normal,lora,meta,meta,50.43,0.0,13.0,29.0,40.0,41.0,47.0,81.0,81.0,73.0,75.0,0.0,30.0,56.0,69.0,70.0,20.0,57.0,49.0,46.0,53.0,51.0,62.0,68.0,78.0,86.0,0.0,34.0,83.0,97.0,99.0,0.0,18.0,43.0,51.0,65.0
qwen-1.5b,512,100,normal,lora,base,base,28.34,0.0,0.0,2.0,8.0,6.0,66.0,80.0,83.0,69.0,67.0,0.0,9.0,41.0,35.0,41.0,11.0,15.0,11.0,9.0,16.0,8.0,3.0,15.0,27.0,25.0,0.0,5.0,70.0,79.0,71.0,0.0,0.0,27.0,38.0,55.0
qwen-3b,512,100,normal,lora,meta,meta,64.6,5.0,23.0,35.0,46.0,47.0,47.0,80.0,89.0,88.0,86.0,1.0,90.0,92.0,95.0,89.0,28.0,56.0,62.0,64.0,70.0,58.0,61.0,80.0,86.0,88.0,26.0,92.0,98.0,100.0,98.0,0.0,50.0,67.0,74.0,90.0
qwen-7b,1596,100,normal,lora,meta,meta,75.63,34.0,29.0,40.0,45.0,48.0,56.0,87.0,93.0,90.0,97.0,81.0,91.0,86.0,91.0,90.0,33.0,69.0,70.0,73.0,69.0,69.0,76.0,80.0,92.0,94.0,89.0,98.0,99.0,100.0,100.0,84.0,53.0,72.0,81.0,88.0
qwen-7b,1596,100,normal,lora,base,base,46.03,0.0,0.0,8.0,9.0,16.0,52.0,81.0,90.0,85.0,84.0,0.0,59.0,75.0,60.0,69.0,21.0,30.0,27.0,33.0,39.0,38.0,37.0,42.0,55.0,43.0,0.0,96.0,91.0,95.0,95.0,0.0,23.0,48.0,52.0,58.0
qwen-1.5b,1596,100,normal,lora,meta,meta,53.83,0.0,20.0,24.0,36.0,42.0,48.0,79.0,80.0,75.0,82.0,5.0,68.0,80.0,74.0,70.0,18.0,52.0,49.0,43.0,47.0,57.0,60.0,71.0,81.0,83.0,0.0,66.0,91.0,97.0,99.0,0.0,23.0,43.0,53.0,68.0
qwen-1.5b,1596,100,normal,lora,base,base,31.51,0.0,0.0,1.0,5.0,5.0,71.0,76.0,86.0,79.0,70.0,0.0,20.0,46.0,53.0,48.0,24.0,19.0,21.0,20.0,19.0,5.0,7.0,10.0,26.0,18.0,0.0,39.0,83.0,86.0,76.0,0.0,0.0,14.0,32.0,44.0
qwen-3b,512,100,normal,lora,base,base,42.06,0.0,0.0,10.0,12.0,24.0,60.0,85.0,93.0,84.0,82.0,0.0,43.0,72.0,66.0,62.0,22.0,36.0,30.0,23.0,35.0,19.0,20.0,24.0,38.0,28.0,5.0,81.0,86.0,80.0,79.0,0.0,12.0,45.0,54.0,62.0
qwen-3b,1596,100,normal,lora,meta,meta,65.57,8.0,27.0,35.0,48.0,48.0,47.0,88.0,95.0,88.0,92.0,1.0,94.0,88.0,89.0,83.0,40.0,62.0,65.0,67.0,66.0,61.0,66.0,72.0,83.0,87.0,13.0,99.0,99.0,100.0,100.0,0.0,48.0,74.0,76.0,86.0
qwen-3b,1596,100,normal,lora,base,base,43.11,0.0,2.0,12.0,14.0,19.0,60.0,88.0,88.0,76.0,80.0,0.0,53.0,62.0,63.0,62.0,27.0,27.0,45.0,30.0,42.0,19.0,18.0,27.0,32.0,45.0,0.0,91.0,90.0,88.0,87.0,0.0,10.0,45.0,55.0,52.0
qwen-1.5b,1048,1000,ood_words,lora,meta,meta,67.37,1.0,26.0,35.0,53.0,52.0,66.0,81.0,95.0,91.0,94.0,0.0,59.0,80.0,79.0,92.0,33.0,60.0,70.0,78.0,77.0,62.0,73.0,79.0,92.0,95.0,1.0,92.0,96.0,97.0,96.0,0.0,79.0,88.0,91.0,95.0
qwen-1.5b,1048,1000,ood_constants,lora,meta,meta,56.0,0.0,20.0,39.0,49.0,44.0,62.0,81.0,74.0,79.0,75.0,0.0,23.0,57.0,75.0,67.0,23.0,52.0,43.0,57.0,45.0,59.0,66.0,73.0,81.0,80.0,0.0,52.0,81.0,92.0,93.0,0.0,72.0,88.0,79.0,79.0
qwen-1.5b,1048,1000,ood_words,lora,base,base,56.91,0.0,0.0,14.0,31.0,43.0,66.0,88.0,95.0,86.0,84.0,0.0,60.0,75.0,70.0,80.0,39.0,55.0,51.0,59.0,62.0,61.0,59.0,59.0,64.0,69.0,0.0,99.0,91.0,96.0,94.0,0.0,24.0,63.0,74.0,81.0
qwen-1.5b,1048,1000,ood_constants,lora,base,base,37.49,0.0,0.0,11.0,22.0,29.0,81.0,84.0,81.0,69.0,67.0,0.0,63.0,64.0,45.0,43.0,50.0,38.0,29.0,31.0,36.0,9.0,12.0,11.0,18.0,13.0,0.0,81.0,79.0,68.0,72.0,0.0,8.0,26.0,30.0,42.0
qwen-1.5b,512,1000,ood_words,lora,meta,meta,72.0,4.0,27.0,40.0,47.0,58.0,64.0,83.0,89.0,88.0,94.0,45.0,94.0,96.0,95.0,92.0,20.0,54.0,72.0,76.0,76.0,69.0,77.0,78.0,95.0,97.0,71.0,96.0,98.0,100.0,96.0,0.0,69.0,84.0,85.0,91.0
qwen-1.5b,512,1000,ood_constants,lora,meta,meta,63.09,6.0,31.0,37.0,49.0,52.0,56.0,79.0,81.0,77.0,74.0,3.0,90.0,86.0,82.0,75.0,26.0,46.0,49.0,59.0,47.0,64.0,73.0,76.0,89.0,89.0,19.0,96.0,95.0,98.0,99.0,1.0,63.0,81.0,81.0,79.0
qwen-1.5b,512,1000,ood_words,lora,base,base,54.8,0.0,0.0,27.0,44.0,44.0,75.0,92.0,97.0,92.0,88.0,0.0,24.0,72.0,82.0,80.0,49.0,59.0,68.0,71.0,74.0,45.0,43.0,39.0,46.0,49.0,0.0,42.0,90.0,95.0,97.0,0.0,33.0,55.0,68.0,78.0
qwen-1.5b,512,1000,ood_constants,lora,base,base,32.0,0.0,0.0,20.0,26.0,20.0,79.0,82.0,80.0,67.0,71.0,0.0,15.0,62.0,55.0,49.0,52.0,50.0,41.0,35.0,38.0,3.0,2.0,3.0,0.0,1.0,0.0,17.0,78.0,71.0,65.0,0.0,3.0,10.0,11.0,14.0
qwen-1.5b,1048,1000,ood_support,lora,meta,meta,69.83,6.0,25.0,47.0,51.0,59.0,73.0,86.0,93.0,88.0,85.0,12.0,68.0,82.0,69.0,77.0,53.0,67.0,59.0,67.0,58.0,95.0,95.0,98.0,89.0,92.0,29.0,91.0,87.0,95.0,90.0,8.0,88.0,92.0,90.0,80.0
qwen-1.5b,512,1000,ood_support,lora,meta,meta,73.23,12.0,33.0,48.0,52.0,47.0,72.0,87.0,91.0,88.0,85.0,86.0,82.0,79.0,76.0,74.0,48.0,52.0,61.0,67.0,59.0,97.0,99.0,95.0,87.0,98.0,87.0,86.0,91.0,91.0,92.0,13.0,77.0,83.0,84.0,84.0
qwen-1.5b,1596,1000,ood_support,lora,meta,meta,70.34,3.0,28.0,46.0,59.0,53.0,76.0,88.0,95.0,92.0,89.0,14.0,83.0,91.0,75.0,72.0,56.0,66.0,71.0,71.0,60.0,98.0,97.0,94.0,89.0,94.0,14.0,85.0,91.0,92.0,90.0,1.0,83.0,85.0,81.0,80.0
qwen-1.5b,1596,1000,ood_words,lora,meta,meta,71.4,2.0,24.0,43.0,51.0,62.0,66.0,91.0,92.0,92.0,94.0,0.0,98.0,95.0,92.0,89.0,42.0,62.0,77.0,78.0,80.0,68.0,76.0,79.0,95.0,91.0,0.0,97.0,96.0,98.0,99.0,0.0,84.0,95.0,95.0,96.0
qwen-1.5b,1596,1000,ood_constants,lora,meta,meta,62.89,0.0,25.0,37.0,51.0,52.0,64.0,78.0,81.0,75.0,74.0,0.0,92.0,83.0,81.0,77.0,32.0,51.0,51.0,61.0,46.0,57.0,66.0,74.0,91.0,82.0,0.0,91.0,96.0,99.0,99.0,0.0,79.0,88.0,85.0,83.0
qwen-1.5b,1596,1000,ood_words,lora,base,base,57.09,0.0,0.0,15.0,22.0,38.0,68.0,90.0,93.0,91.0,82.0,0.0,76.0,80.0,87.0,82.0,41.0,57.0,62.0,70.0,66.0,51.0,54.0,48.0,65.0,51.0,1.0,89.0,97.0,97.0,93.0,0.0,22.0,59.0,68.0,83.0
qwen-1.5b,1596,1000,ood_constants,lora,base,base,36.29,0.0,0.0,10.0,21.0,18.0,68.0,81.0,73.0,67.0,72.0,0.0,51.0,62.0,55.0,53.0,48.0,44.0,37.0,35.0,31.0,16.0,14.0,11.0,19.0,8.0,0.0,62.0,79.0,68.0,65.0,0.0,8.0,28.0,27.0,39.0
qwen-3b,1048,1000,ood_words,lora,meta,meta,76.8,4.0,23.0,38.0,49.0,56.0,56.0,87.0,98.0,98.0,99.0,41.0,99.0,98.0,96.0,94.0,40.0,74.0,85.0,90.0,84.0,72.0,79.0,82.0,98.0,98.0,73.0,98.0,98.0,100.0,98.0,1.0,87.0,98.0,99.0,98.0
qwen-3b,1048,1000,ood_constants,lora,meta,meta,71.0,7.0,24.0,44.0,50.0,54.0,47.0,71.0,80.0,79.0,79.0,29.0,99.0,95.0,93.0,86.0,41.0,64.0,70.0,65.0,68.0,69.0,75.0,83.0,94.0,91.0,64.0,99.0,98.0,100.0,99.0,3.0,93.0,95.0,89.0,88.0
qwen-3b,1048,1000,ood_words,lora,base,base,70.91,0.0,25.0,63.0,68.0,78.0,65.0,90.0,98.0,98.0,92.0,0.0,89.0,89.0,95.0,87.0,53.0,65.0,78.0,87.0,86.0,78.0,80.0,79.0,86.0,90.0,0.0,93.0,98.0,100.0,100.0,0.0,35.0,66.0,83.0,88.0
qwen-3b,1048,1000,ood_constants,lora,base,base,56.86,0.0,26.0,54.0,47.0,53.0,69.0,90.0,91.0,88.0,77.0,1.0,83.0,82.0,81.0,74.0,40.0,61.0,55.0,57.0,65.0,47.0,48.0,37.0,41.0,43.0,8.0,84.0,89.0,90.0,86.0,0.0,25.0,61.0,70.0,67.0
qwen-7b,1048,1000,ood_words,lora,meta,meta,75.54,0.0,17.0,43.0,58.0,69.0,61.0,90.0,99.0,97.0,100.0,2.0,98.0,99.0,100.0,98.0,45.0,81.0,91.0,95.0,90.0,71.0,81.0,85.0,98.0,98.0,0.0,98.0,96.0,99.0,99.0,0.0,92.0,97.0,99.0,98.0
qwen-7b,1048,1000,ood_constants,lora,meta,meta,71.14,0.0,20.0,41.0,54.0,58.0,48.0,86.0,92.0,88.0,89.0,1.0,98.0,98.0,93.0,92.0,40.0,66.0,77.0,82.0,81.0,70.0,79.0,84.0,97.0,91.0,0.0,98.0,98.0,99.0,99.0,0.0,86.0,94.0,94.0,97.0
qwen-3b,1048,1000,ood_words,lora,base,base,70.91,0.0,25.0,63.0,68.0,78.0,65.0,90.0,98.0,98.0,92.0,0.0,89.0,89.0,95.0,87.0,53.0,65.0,78.0,87.0,86.0,78.0,80.0,79.0,86.0,90.0,0.0,93.0,98.0,100.0,100.0,0.0,35.0,66.0,83.0,88.0
qwen-3b,1048,1000,ood_constants,lora,base,base,56.86,0.0,26.0,54.0,47.0,53.0,69.0,90.0,91.0,88.0,77.0,1.0,83.0,82.0,81.0,74.0,40.0,61.0,55.0,57.0,65.0,47.0,48.0,37.0,41.0,43.0,8.0,84.0,89.0,90.0,86.0,0.0,25.0,61.0,70.0,67.0
qwen-3b,1048,1000,ood_support,lora,meta,meta,79.94,9.0,35.0,55.0,64.0,59.0,73.0,92.0,98.0,97.0,96.0,52.0,99.0,93.0,92.0,78.0,55.0,69.0,68.0,78.0,90.0,97.0,99.0,95.0,95.0,93.0,68.0,93.0,98.0,98.0,98.0,33.0,95.0,92.0,97.0,95.0
