model,seed,type_x_len_samples,test_type,ft_type,model_type,dataset,accuracy,type_1_len_5,type_1_len_6,type_1_len_7,type_1_len_8,type_1_len_9,type_2_len_6,type_2_len_7,type_2_len_8,type_2_len_9,type_2_len_10,type_3_len_15,type_3_len_16,type_3_len_17,type_3_len_18,type_3_len_19,type_4_len_7,type_4_len_8,type_4_len_9,type_4_len_10,type_4_len_11,type_5_len_15,type_5_len_16,type_5_len_17,type_5_len_18,type_5_len_19,type_6_len_14,type_6_len_15,type_6_len_16,type_6_len_17,type_6_len_18,type_7_len_9,type_7_len_10,type_7_len_11,type_7_len_12,type_7_len_13
qwen-3b,1048,1000,normal,lora,meta,meta,88.23,89.0,78.0,74.0,74.0,69.0,96.0,96.0,94.0,93.0,85.0,86.0,89.0,89.0,82.0,81.0,85.0,82.0,77.0,68.0,62.0,99.0,99.0,98.0,93.0,93.0,100.0,99.0,98.0,98.0,97.0,97.0,93.0,93.0,91.0,91.0
qwen-3b,1048,1000,normal,lora,base,base,75.69,69.0,53.0,65.0,51.0,34.0,96.0,97.0,92.0,95.0,90.0,82.0,76.0,83.0,79.0,74.0,80.0,76.0,70.0,61.0,53.0,76.0,79.0,67.0,66.0,65.0,97.0,94.0,98.0,97.0,98.0,79.0,69.0,62.0,65.0,61.0
qwen-7b,1048,1000,normal,lora,meta,meta,89.34,86.0,75.0,70.0,66.0,67.0,97.0,97.0,98.0,94.0,94.0,88.0,88.0,87.0,83.0,83.0,89.0,86.0,86.0,80.0,74.0,99.0,100.0,98.0,99.0,96.0,100.0,98.0,96.0,96.0,95.0,95.0,92.0,95.0,92.0,88.0
qwen-7b,1048,1000,normal,lora,base,base,78.51,80.0,60.0,62.0,47.0,32.0,99.0,100.0,99.0,100.0,100.0,84.0,86.0,88.0,78.0,76.0,84.0,80.0,85.0,77.0,59.0,71.0,75.0,55.0,61.0,44.0,99.0,97.0,99.0,98.0,97.0,90.0,86.0,75.0,57.0,68.0
qwen-3b,1048,100,normal,lora,meta,meta,56.23,37.0,21.0,31.0,22.0,23.0,79.0,74.0,65.0,71.0,69.0,55.0,55.0,45.0,43.0,46.0,42.0,44.0,43.0,38.0,22.0,81.0,82.0,67.0,70.0,68.0,87.0,84.0,82.0,80.0,67.0,58.0,57.0,64.0,54.0,42.0
qwen-3b,1048,100,normal,lora,base,base,41.71,21.0,17.0,11.0,12.0,17.0,76.0,77.0,75.0,82.0,79.0,41.0,36.0,37.0,35.0,22.0,28.0,30.0,41.0,27.0,12.0,25.0,20.0,22.0,24.0,35.0,81.0,79.0,77.0,84.0,86.0,36.0,30.0,29.0,29.0,27.0
qwen-7b,1048,100,normal,lora,meta,meta,63.66,46.0,41.0,33.0,40.0,33.0,82.0,82.0,77.0,79.0,70.0,64.0,58.0,50.0,50.0,43.0,46.0,42.0,49.0,36.0,38.0,91.0,93.0,82.0,82.0,82.0,91.0,85.0,86.0,81.0,74.0,73.0,65.0,72.0,63.0,49.0
qwen-7b,1048,100,normal,lora,base,base,45.17,25.0,17.0,16.0,12.0,8.0,80.0,79.0,82.0,79.0,81.0,49.0,37.0,40.0,34.0,36.0,23.0,31.0,37.0,35.0,18.0,22.0,21.0,12.0,18.0,30.0,95.0,91.0,92.0,90.0,89.0,54.0,39.0,45.0,28.0,36.0
qwen-1.5b,1048,1000,normal,lora,meta,meta,73.26,74.0,61.0,60.0,52.0,41.0,88.0,81.0,81.0,79.0,75.0,76.0,71.0,62.0,68.0,57.0,59.0,59.0,52.0,48.0,40.0,96.0,96.0,85.0,85.0,85.0,96.0,94.0,88.0,95.0,88.0,87.0,78.0,68.0,71.0,68.0
qwen-1.5b,1048,1000,normal,lora,base,base,64.54,51.0,35.0,25.0,19.0,7.0,94.0,92.0,92.0,91.0,97.0,76.0,63.0,65.0,69.0,58.0,66.0,66.0,63.0,55.0,34.0,62.0,64.0,49.0,44.0,47.0,93.0,95.0,91.0,95.0,94.0,70.0,76.0,57.0,51.0,53.0
qwen-1.5b,1048,100,normal,lora,meta,meta,45.8,36.0,18.0,19.0,15.0,18.0,61.0,65.0,52.0,61.0,54.0,53.0,49.0,37.0,40.0,28.0,22.0,24.0,28.0,28.0,16.0,78.0,71.0,64.0,52.0,49.0,80.0,76.0,78.0,66.0,62.0,48.0,44.0,38.0,43.0,30.0
qwen-1.5b,1048,100,normal,lora,base,base,30.37,20.0,14.0,10.0,11.0,12.0,70.0,71.0,60.0,63.0,63.0,23.0,19.0,26.0,17.0,22.0,18.0,22.0,19.0,16.0,3.0,22.0,24.0,15.0,12.0,20.0,72.0,64.0,59.0,58.0,58.0,23.0,26.0,17.0,9.0,5.0
qwen-7b,512,1000,normal,lora,meta,meta,89.46,88.0,77.0,77.0,66.0,70.0,97.0,97.0,95.0,89.0,90.0,92.0,90.0,83.0,86.0,79.0,87.0,87.0,85.0,79.0,62.0,99.0,98.0,99.0,97.0,96.0,99.0,96.0,98.0,99.0,96.0,97.0,95.0,96.0,95.0,95.0
qwen-7b,512,1000,normal,lora,base,base,80.09,78.0,78.0,72.0,59.0,56.0,98.0,98.0,96.0,96.0,94.0,80.0,82.0,82.0,69.0,73.0,86.0,81.0,80.0,74.0,62.0,74.0,77.0,74.0,61.0,65.0,98.0,93.0,97.0,96.0,93.0,91.0,84.0,73.0,71.0,62.0
qwen-7b,1596,1000,normal,lora,meta,meta,91.29,91.0,78.0,78.0,80.0,70.0,98.0,98.0,98.0,97.0,94.0,95.0,89.0,91.0,88.0,86.0,90.0,82.0,78.0,82.0,69.0,100.0,100.0,98.0,96.0,96.0,100.0,96.0,97.0,99.0,99.0,98.0,98.0,97.0,95.0,94.0
qwen-7b,1596,1000,normal,lora,base,base,83.69,74.0,71.0,67.0,58.0,51.0,98.0,99.0,100.0,98.0,99.0,92.0,86.0,91.0,79.0,84.0,86.0,89.0,82.0,85.0,69.0,84.0,78.0,77.0,73.0,65.0,100.0,100.0,99.0,97.0,99.0,91.0,89.0,75.0,76.0,68.0
qwen-3b,512,1000,normal,lora,meta,meta,89.2,87.0,86.0,73.0,80.0,71.0,95.0,95.0,92.0,93.0,93.0,93.0,94.0,84.0,83.0,81.0,86.0,77.0,84.0,71.0,65.0,97.0,98.0,100.0,96.0,95.0,97.0,98.0,96.0,95.0,94.0,100.0,93.0,93.0,95.0,92.0
qwen-3b,512,1000,normal,lora,base,base,76.0,70.0,57.0,62.0,50.0,42.0,100.0,99.0,96.0,97.0,96.0,82.0,72.0,76.0,78.0,69.0,83.0,82.0,77.0,72.0,60.0,67.0,66.0,53.0,51.0,45.0,99.0,97.0,99.0,98.0,100.0,80.0,78.0,78.0,66.0,63.0
qwen-1.5b,512,1000,normal,lora,meta,meta,76.89,77.0,61.0,61.0,64.0,47.0,92.0,85.0,79.0,71.0,79.0,81.0,73.0,70.0,72.0,63.0,62.0,62.0,59.0,53.0,44.0,96.0,99.0,92.0,92.0,88.0,98.0,93.0,92.0,96.0,90.0,89.0,78.0,83.0,78.0,72.0
qwen-1.5b,512,1000,normal,lora,base,base,62.26,53.0,41.0,39.0,27.0,16.0,97.0,92.0,90.0,91.0,89.0,69.0,61.0,69.0,68.0,51.0,66.0,56.0,53.0,56.0,35.0,53.0,54.0,40.0,44.0,37.0,94.0,92.0,92.0,91.0,91.0,71.0,64.0,60.0,41.0,36.0
qwen-3b,1596,1000,normal,lora,meta,meta,85.4,87.0,83.0,70.0,74.0,70.0,98.0,97.0,94.0,92.0,88.0,85.0,83.0,77.0,79.0,75.0,81.0,73.0,76.0,65.0,46.0,97.0,99.0,95.0,95.0,92.0,96.0,96.0,94.0,91.0,90.0,94.0,89.0,88.0,91.0,89.0
qwen-1.5b,1596,1000,normal,lora,meta,meta,79.11,79.0,70.0,62.0,65.0,59.0,94.0,87.0,85.0,81.0,82.0,75.0,80.0,67.0,72.0,66.0,67.0,74.0,66.0,65.0,57.0,97.0,97.0,91.0,89.0,84.0,97.0,93.0,92.0,94.0,91.0,88.0,78.0,80.0,74.0,71.0
