epoch,iter,val_loss,eval/acc
0,0,0.9880235761404037,0.0
0,775,0.20704744271934034,49.03
0,1550,0.18766175992786885,62.9
0,2325,0.1848318912088871,66.77
0,3100,0.18103682547807692,70.97
0,3875,0.1772787481546402,73.55
0,4650,0.18175014890730382,70.97
0,5425,0.1760990832000971,75.81
0,6200,0.17163950838148595,78.71
0,6975,0.170661124587059,78.71
1,7750,0.16712441705167294,80.32
1,8525,0.16647232808172702,81.61
1,9300,0.1700355239212513,81.94
1,10075,0.1691836092621088,83.55
1,10850,0.1654598381370306,86.77
1,11625,0.16439203694462776,86.45
1,12400,0.1687051761895418,87.1
1,13175,0.165412812307477,86.13
1,13950,0.1635558657348156,85.48
1,14725,0.16152248494327068,86.77
2,15500,0.16429263055324556,87.1
2,16275,0.16440313905477524,86.45
2,17050,0.1649715520441532,87.1
2,17825,0.1664940357208252,86.13
2,18600,0.16837716810405254,86.45
2,19375,0.16728244051337243,86.13
2,20150,0.16782472506165505,89.03
2,20925,0.1678256455808878,87.74
2,21700,0.16901072524487973,85.81
2,22475,0.16889846436679362,86.77
3,23250,0.17114006839692592,89.03
3,24025,0.1718195728957653,87.1
3,24800,0.1743945438414812,88.71
3,25575,0.1741024859249592,87.42
3,26350,0.17668271511793138,87.74
3,27125,0.17563665471971035,88.39
3,27900,0.17767055332660675,88.06
3,28675,0.17714186944067478,89.35
3,29450,0.17652646265923977,87.42
3,30225,0.1766783483326435,88.71
